n,sol_iteration,total_iterations,order_of_genes,fitness_val,execution_time,sol_chrom_json
5,88,120,"(3, 2, 1, 4, 0)",6473.75,0.0013,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [31, 19, 22, 36, 43], ""C"": [[-1.0, 14.5, 16.0, 16.0, 12.0], [14.5, -1.0, 9.5, 12.5, 11.0], [16.0, 9.5, -1.0, 9.0, 9.0], [16.0, 12.5, 9.0, -1.0, 8.5], [12.0, 11.0, 9.0, 8.5, -1.0]]}"
5,64,120,"(2, 3, 1, 4, 0)",5861.0,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [27, 10, 46, 16, 44], ""C"": [[-1.0, 7.5, 19.0, 13.5, 11.0], [7.5, -1.0, 15.0, 9.0, 11.5], [19.0, 15.0, -1.0, 13.0, 14.5], [13.5, 9.0, 13.0, -1.0, 10.0], [11.0, 11.5, 14.5, 10.0, -1.0]]}"
5,17,120,"(0, 3, 4, 1, 2)",5422.0,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [33, 29, 11, 18, 24], ""C"": [[-1.0, 13.0, 16.5, 18.5, 11.5], [13.0, -1.0, 9.5, 8.5, 12.5], [16.5, 9.5, -1.0, 19.0, 13.0], [18.5, 8.5, 19.0, -1.0, 16.5], [11.5, 12.5, 13.0, 16.5, -1.0]]}"
5,32,120,"(1, 2, 0, 4, 3)",6083.5,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [12, 41, 14, 32, 43], ""C"": [[-1.0, 8.0, 12.0, 13.5, 19.0], [8.0, -1.0, 16.0, 13.0, 12.0], [12.0, 16.0, -1.0, 14.5, 5.5], [13.5, 13.0, 14.5, -1.0, 13.5], [19.0, 12.0, 5.5, 13.5, -1.0]]}"
5,23,120,"(0, 4, 3, 1, 2)",9553.25,0.0011,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [45, 49, 29, 37, 30], ""C"": [[-1.0, 17.5, 12.5, 14.0, 10.5], [17.5, -1.0, 14.0, 18.5, 15.5], [12.5, 14.0, -1.0, 15.5, 10.5], [14.0, 18.5, 15.5, -1.0, 11.0], [10.5, 15.5, 10.5, 11.0, -1.0]]}"
5,80,120,"(3, 1, 0, 4, 2)",3822.0,0.0012,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [5, 20, 7, 47, 21], ""C"": [[-1.0, 11.0, 15.0, 8.0, 12.0], [11.0, -1.0, 14.0, 17.5, 9.5], [15.0, 14.0, -1.0, 8.5, 17.5], [8.0, 17.5, 8.5, -1.0, 17.0], [12.0, 9.5, 17.5, 17.0, -1.0]]}"
5,25,120,"(1, 0, 2, 3, 4)",3845.75,0.0015,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [37, 40, 9, 6, 12], ""C"": [[-1.0, 8.5, 10.0, 11.0, 12.0], [8.5, -1.0, 14.5, 19.5, 17.5], [10.0, 14.5, -1.0, 11.0, 14.5], [11.0, 19.5, 11.0, -1.0, 12.5], [12.0, 17.5, 14.5, 12.5, -1.0]]}"
5,21,120,"(0, 4, 2, 1, 3)",4428.75,0.0013,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [38, 7, 32, 23, 21], ""C"": [[-1.0, 7.5, 10.0, 10.5, 14.5], [7.5, -1.0, 12.5, 8.5, 9.0], [10.0, 12.5, -1.0, 9.5, 11.0], [10.5, 8.5, 9.5, -1.0, 13.0], [14.5, 9.0, 11.0, 13.0, -1.0]]}"
5,8,120,"(0, 2, 1, 4, 3)",3155.0,0.0018,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [28, 10, 12, 16, 30], ""C"": [[-1.0, 11.0, 15.0, 11.5, 6.0], [11.0, -1.0, 12.0, 10.0, 9.0], [15.0, 12.0, -1.0, 13.5, 9.5], [11.5, 10.0, 13.5, -1.0, 10.5], [6.0, 9.0, 9.5, 10.5, -1.0]]}"
5,70,120,"(2, 4, 1, 3, 0)",3470.5,0.0017,"{""n"": 5, ""F"": [4, 3, 2, 1, 0], ""L"": [15, 9, 39, 23, 13], ""C"": [[-1.0, 11.0, 13.5, 18.0, 13.5], [11.0, -1.0, 6.0, 13.5, 7.0], [13.5, 6.0, -1.0, 6.0, 5.5], [18.0, 13.5, 6.0, -1.0, 13.0], [13.5, 7.0, 5.5, 13.0, -1.0]]}"
6,255,720,"(2, 0, 4, 3, 1, 5)",11053.5,0.0106,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [20, 18, 49, 45, 16, 42], ""C"": [[-1.0, 15.0, 10.5, 14.5, 14.0, 13.5], [15.0, -1.0, 13.5, 13.0, 10.0, 7.0], [10.5, 13.5, -1.0, 15.0, 9.5, 12.5], [14.5, 13.0, 15.0, -1.0, 13.5, 12.0], [14.0, 10.0, 9.5, 13.5, -1.0, 7.5], [13.5, 7.0, 12.5, 12.0, 7.5, -1.0]]}"
6,382,720,"(3, 0, 5, 2, 4, 1)",8146.5,0.0101,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [20, 19, 10, 47, 31, 16], ""C"": [[-1.0, 8.0, 6.5, 9.5, 14.5, 14.0], [8.0, -1.0, 10.5, 11.5, 15.0, 14.0], [6.5, 10.5, -1.0, 12.5, 18.5, 9.0], [9.5, 11.5, 12.5, -1.0, 9.5, 9.5], [14.5, 15.0, 18.5, 9.5, -1.0, 17.0], [14.0, 14.0, 9.0, 9.5, 17.0, -1.0]]}"
6,224,720,"(1, 5, 2, 0, 4, 3)",7391.75,0.0101,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [10, 43, 13, 18, 31, 15], ""C"": [[-1.0, 10.0, 6.0, 11.5, 19.5, 12.0], [10.0, -1.0, 10.0, 6.5, 16.0, 10.0], [6.0, 10.0, -1.0, 13.0, 17.5, 13.5], [11.5, 6.5, 13.0, -1.0, 7.0, 12.5], [19.5, 16.0, 17.5, 7.0, -1.0, 16.0], [12.0, 10.0, 13.5, 12.5, 16.0, -1.0]]}"
6,13,720,"(0, 1, 4, 2, 3, 5)",7722.5,0.0097,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [38, 28, 33, 17, 22, 4], ""C"": [[-1.0, 9.0, 8.5, 7.5, 15.5, 11.5], [9.0, -1.0, 12.5, 11.5, 7.0, 11.5], [8.5, 12.5, -1.0, 11.5, 16.5, 17.0], [7.5, 11.5, 11.5, -1.0, 12.5, 7.0], [15.5, 7.0, 16.5, 12.5, -1.0, 14.5], [11.5, 11.5, 17.0, 7.0, 14.5, -1.0]]}"
6,131,720,"(1, 0, 3, 5, 2, 4)",9400.0,0.0096,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [22, 47, 41, 14, 10, 19], ""C"": [[-1.0, 9.0, 7.0, 13.0, 9.5, 19.5], [9.0, -1.0, 13.5, 13.0, 10.0, 16.0], [7.0, 13.5, -1.0, 18.5, 10.5, 17.0], [13.0, 13.0, 18.5, -1.0, 10.0, 17.5], [9.5, 10.0, 10.5, 10.0, -1.0, 15.0], [19.5, 16.0, 17.0, 17.5, 15.0, -1.0]]}"
6,115,720,"(0, 5, 4, 1, 2, 3)",12178.25,0.0094,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [38, 44, 37, 27, 13, 33], ""C"": [[-1.0, 12.0, 12.5, 11.0, 13.0, 13.0], [12.0, -1.0, 9.5, 14.5, 7.5, 11.5], [12.5, 9.5, -1.0, 15.5, 16.5, 9.0], [11.0, 14.5, 15.5, -1.0, 16.0, 12.5], [13.0, 7.5, 16.5, 16.0, -1.0, 19.0], [13.0, 11.5, 9.0, 12.5, 19.0, -1.0]]}"
6,194,720,"(1, 4, 0, 2, 5, 3)",10074.25,0.0094,"{""n"": 6, ""F"": [5, 4, 3, 2, 1, 0], ""L"": [18, 47, 12, 24, 34, 48], ""C"": [[-1.0, 11.5, 16.0, 13.5, 5.5, 15.5], [11.5, -1.0, 12.5, 6.5, 13.0, 10.0], [16.0, 12.5, -1.0, 8.5, 11.5, 13.5], [13.5, 6.5, 8.5, -1.0, 13.0, 12.0], [5.5, 13.0, 11.5, 13.0, -1.0, 9.0], [15.5, 10.0, 13.5, 12.0, 9.0, -1.0]]}"
7,176,5040,"(0, 2, 4, 3, 1, 6, 5)",15950.75,0.0911,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [41, 18, 31, 15, 17, 27, 36], ""C"": [[-1.0, 12.0, 11.0, 10.5, 18.5, 9.0, 14.0], [12.0, -1.0, 13.0, 11.0, 12.0, 11.5, 15.5], [11.0, 13.0, -1.0, 13.0, 11.0, 15.5, 12.0], [10.5, 11.0, 13.0, -1.0, 18.5, 10.0, 6.0], [18.5, 12.0, 11.0, 18.5, -1.0, 13.5, 17.5], [9.0, 11.5, 15.5, 10.0, 13.5, -1.0, 12.5], [14.0, 15.5, 12.0, 6.0, 17.5, 12.5, -1.0]]}"
7,1084,5040,"(1, 4, 0, 2, 5, 6, 3)",16345.5,0.0868,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [20, 42, 15, 28, 25, 23, 41], ""C"": [[-1.0, 12.5, 15.5, 13.5, 10.0, 8.0, 19.0], [12.5, -1.0, 11.0, 13.5, 12.5, 15.0, 12.5], [15.5, 11.0, -1.0, 12.0, 15.0, 15.5, 8.0], [13.5, 13.5, 12.0, -1.0, 20.0, 14.5, 6.0], [10.0, 12.5, 15.0, 20.0, -1.0, 18.0, 6.0], [8.0, 15.0, 15.5, 14.5, 18.0, -1.0, 6.0], [19.0, 12.5, 8.0, 6.0, 6.0, 6.0, -1.0]]}"
7,2670,5040,"(3, 5, 1, 0, 6, 4, 2)",22424.75,0.1029,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [32, 36, 38, 45, 47, 41, 12], ""C"": [[-1.0, 15.5, 13.0, 12.0, 5.0, 12.0, 15.5], [15.5, -1.0, 11.5, 13.0, 16.0, 10.5, 12.0], [13.0, 11.5, -1.0, 11.0, 12.0, 18.0, 9.0], [12.0, 13.0, 11.0, -1.0, 10.0, 16.0, 18.0], [5.0, 16.0, 12.0, 10.0, -1.0, 6.5, 13.5], [12.0, 10.5, 18.0, 16.0, 6.5, -1.0, 7.5], [15.5, 12.0, 9.0, 18.0, 13.5, 7.5, -1.0]]}"
7,1346,5040,"(1, 6, 2, 0, 3, 5, 4)",11414.5,0.0981,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [6, 39, 14, 11, 20, 49, 32], ""C"": [[-1.0, 8.0, 13.5, 5.0, 7.0, 14.0, 7.0], [8.0, -1.0, 11.5, 14.0, 11.5, 12.0, 12.5], [13.5, 11.5, -1.0, 9.0, 15.5, 14.0, 12.5], [5.0, 14.0, 9.0, -1.0, 14.5, 10.5, 8.5], [7.0, 11.5, 15.5, 14.5, -1.0, 15.0, 12.5], [14.0, 12.0, 14.0, 10.5, 15.0, -1.0, 11.5], [7.0, 12.5, 12.5, 8.5, 12.5, 11.5, -1.0]]}"
7,1638,5040,"(2, 1, 5, 0, 6, 4, 3)",9695.5,0.1280,"{""n"": 7, ""F"": [6, 5, 4, 3, 2, 1, 0], ""L"": [5, 13, 39, 27, 47, 6, 9], ""C"": [[-1.0, 10.5, 15.0, 18.5, 15.5, 8.5, 18.5], [10.5, -1.0, 10.0, 10.5, 12.5, 7.0, 6.0], [15.0, 10.0, -1.0, 10.0, 14.5, 9.5, 11.5], [18.5, 10.5, 10.0, -1.0, 13.5, 10.5, 12.5], [15.5, 12.5, 14.5, 13.5, -1.0, 9.5, 11.0], [8.5, 7.0, 9.5, 10.5, 9.5, -1.0, 9.0], [18.5, 6.0, 11.5, 12.5, 11.0, 9.0, -1.0]]}"
8,34048,40320,"(6, 5, 1, 4, 3, 2, 7, 0)",20586.75,1.3112,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [20, 19, 17, 9, 16, 22, 32, 40], ""C"": [[-1.0, 9.5, 12.5, 13.0, 9.5, 14.0, 14.0, 15.0], [9.5, -1.0, 9.0, 13.5, 14.0, 13.5, 18.0, 12.0], [12.5, 9.0, -1.0, 14.0, 11.0, 9.0, 15.0, 19.0], [13.0, 13.5, 14.0, -1.0, 15.0, 13.5, 11.0, 10.5], [9.5, 14.0, 11.0, 15.0, -1.0, 15.5, 16.0, 13.5], [14.0, 13.5, 9.0, 13.5, 15.5, -1.0, 16.5, 12.5], [14.0, 18.0, 15.0, 11.0, 16.0, 16.5, -1.0, 8.0], [15.0, 12.0, 19.0, 10.5, 13.5, 12.5, 8.0, -1.0]]}"
8,27044,40320,"(5, 2, 4, 1, 7, 0, 6, 3)",27185.75,1.3456,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [25, 10, 30, 38, 28, 43, 45, 21], ""C"": [[-1.0, 9.5, 15.5, 9.5, 15.5, 14.0, 17.0, 12.5], [9.5, -1.0, 12.5, 10.0, 13.0, 6.5, 15.5, 11.5], [15.5, 12.5, -1.0, 13.0, 13.5, 15.0, 8.5, 12.5], [9.5, 10.0, 13.0, -1.0, 9.5, 13.0, 13.5, 14.0], [15.5, 13.0, 13.5, 9.5, -1.0, 7.0, 11.5, 11.0], [14.0, 6.5, 15.0, 13.0, 7.0, -1.0, 14.5, 12.0], [17.0, 15.5, 8.5, 13.5, 11.5, 14.5, -1.0, 13.5], [12.5, 11.5, 12.5, 14.0, 11.0, 12.0, 13.5, -1.0]]}"
8,10720,40320,"(2, 0, 7, 3, 5, 4, 6, 1)",20687.25,0.9736,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [31, 27, 44, 17, 25, 4, 47, 21], ""C"": [[-1.0, 8.0, 13.0, 17.0, 16.5, 9.5, 8.0, 7.0], [8.0, -1.0, 15.0, 11.5, 8.0, 11.0, 10.0, 14.0], [13.0, 15.0, -1.0, 12.0, 7.0, 14.0, 12.0, 11.5], [17.0, 11.5, 12.0, -1.0, 15.0, 8.0, 13.0, 12.5], [16.5, 8.0, 7.0, 15.0, -1.0, 9.5, 8.0, 12.0], [9.5, 11.0, 14.0, 8.0, 9.5, -1.0, 12.5, 15.5], [8.0, 10.0, 12.0, 13.0, 8.0, 12.5, -1.0, 15.0], [7.0, 14.0, 11.5, 12.5, 12.0, 15.5, 15.0, -1.0]]}"
8,9312,40320,"(1, 6, 7, 3, 5, 4, 2, 0)",21194.0,0.9215,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [32, 45, 43, 8, 19, 5, 40, 20], ""C"": [[-1.0, 15.5, 9.5, 14.5, 9.5, 15.5, 7.5, 17.0], [15.5, -1.0, 18.0, 12.0, 12.5, 6.0, 14.5, 8.0], [9.5, 18.0, -1.0, 15.5, 10.0, 11.0, 8.5, 13.5], [14.5, 12.0, 15.5, -1.0, 15.5, 16.0, 12.0, 16.5], [9.5, 12.5, 10.0, 15.5, -1.0, 11.5, 10.5, 13.0], [15.5, 6.0, 11.0, 16.0, 11.5, -1.0, 13.5, 12.5], [7.5, 14.5, 8.5, 12.0, 10.5, 13.5, -1.0, 16.0], [17.0, 8.0, 13.5, 16.5, 13.0, 12.5, 16.0, -1.0]]}"
8,1962,40320,"(0, 3, 6, 2, 5, 7, 4, 1)",23985.75,0.9718,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [38, 30, 10, 35, 46, 14, 16, 23], ""C"": [[-1.0, 12.5, 9.5, 16.0, 16.5, 11.5, 16.0, 10.0], [12.5, -1.0, 13.0, 15.0, 17.5, 11.5, 11.5, 15.0], [9.5, 13.0, -1.0, 14.0, 14.5, 11.5, 8.5, 13.0], [16.0, 15.0, 14.0, -1.0, 11.5, 15.5, 7.0, 16.0], [16.5, 17.5, 14.5, 11.5, -1.0, 13.5, 13.0, 15.5], [11.5, 11.5, 11.5, 15.5, 13.5, -1.0, 12.5, 11.5], [16.0, 11.5, 8.5, 7.0, 13.0, 12.5, -1.0, 15.5], [10.0, 15.0, 13.0, 16.0, 15.5, 11.5, 15.5, -1.0]]}"
8,2373,40320,"(0, 4, 2, 6, 7, 3, 1, 5)",16415.0,0.9379,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [48, 10, 18, 31, 23, 26, 7, 6], ""C"": [[-1.0, 8.0, 19.0, 6.5, 14.0, 17.0, 8.5, 11.5], [8.0, -1.0, 13.0, 12.5, 14.5, 6.0, 10.5, 13.5], [19.0, 13.0, -1.0, 7.0, 13.0, 15.0, 14.5, 16.0], [6.5, 12.5, 7.0, -1.0, 17.5, 15.5, 13.5, 15.0], [14.0, 14.5, 13.0, 17.5, -1.0, 16.0, 9.0, 9.5], [17.0, 6.0, 15.0, 15.5, 16.0, -1.0, 8.0, 10.0], [8.5, 10.5, 14.5, 13.5, 9.0, 8.0, -1.0, 13.0], [11.5, 13.5, 16.0, 15.0, 9.5, 10.0, 13.0, -1.0]]}"
8,17342,40320,"(3, 4, 0, 5, 6, 1, 7, 2)",16483.75,0.9534,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [10, 14, 23, 41, 22, 5, 9, 34], ""C"": [[-1.0, 12.0, 9.5, 7.5, 17.0, 12.0, 18.5, 18.5], [12.0, -1.0, 18.5, 13.5, 19.0, 14.0, 17.5, 9.0], [9.5, 18.5, -1.0, 16.5, 15.5, 10.0, 9.5, 9.5], [7.5, 13.5, 16.5, -1.0, 15.0, 16.5, 15.5, 12.0], [17.0, 19.0, 15.5, 15.0, -1.0, 15.0, 17.0, 9.0], [12.0, 14.0, 10.0, 16.5, 15.0, -1.0, 14.5, 9.0], [18.5, 17.5, 9.5, 15.5, 17.0, 14.5, -1.0, 12.5], [18.5, 9.0, 9.5, 12.0, 9.0, 9.0, 12.5, -1.0]]}"
8,17818,40320,"(3, 4, 6, 2, 1, 5, 7, 0)",22736.5,0.9348,"{""n"": 8, ""F"": [7, 6, 5, 4, 3, 2, 1, 0], ""L"": [26, 13, 10, 34, 29, 21, 24, 31], ""C"": [[-1.0, 7.0, 14.0, 13.0, 11.5, 12.0, 15.0, 17.0], [7.0, -1.0, 15.0, 13.5, 9.5, 9.5, 18.5, 14.5], [14.0, 15.0, -1.0, 14.5, 16.0, 11.5, 13.5, 9.0], [13.0, 13.5, 14.5, -1.0, 14.0, 8.0, 8.5, 16.5], [11.5, 9.5, 16.0, 14.0, -1.0, 7.5, 11.5, 16.5], [12.0, 9.5, 11.5, 8.0, 7.5, -1.0, 19.5, 13.0], [15.0, 18.5, 13.5, 8.5, 11.5, 19.5, -1.0, 6.5], [17.0, 14.5, 9.0, 16.5, 16.5, 13.0, 6.5, -1.0]]}"
12,502966,1000000,"(0, 1, 3, 6, 7, 10, 8, 4, 11, 5, 9, 2)",68561.0,62.349,"{""n"": 12, ""F"": [0, 1, 4, 9, 10, 5, 11, 3, 7, 6, 8, 2], ""L"": [41, 26, 34, 33, 14, 31, 15, 11, 10, 43, 9, 22], ""C"": [[-1.0, 11.5, 13.0, 12.0, 9.5, 14.0, 17.5, 16.5, 8.0, 11.5, 15.5, 12.0], [11.5, -1.0, 16.5, 10.5, 19.0, 7.5, 9.0, 15.5, 15.5, 13.5, 15.5, 14.5], [13.0, 16.5, -1.0, 7.5, 14.5, 13.0, 15.5, 9.0, 6.0, 15.5, 14.5, 9.5], [12.0, 10.5, 7.5, -1.0, 11.0, 12.5, 13.0, 6.5, 15.5, 11.5, 11.0, 8.5], [9.5, 19.0, 14.5, 11.0, -1.0, 12.0, 18.5, 17.5, 8.5, 19.0, 14.5, 9.5], [14.0, 7.5, 13.0, 12.5, 12.0, -1.0, 17.5, 9.0, 10.0, 12.5, 14.0, 11.0], [17.5, 9.0, 15.5, 13.0, 18.5, 17.5, -1.0, 12.5, 7.5, 8.5, 9.0, 7.0], [16.5, 15.5, 9.0, 6.5, 17.5, 9.0, 12.5, -1.0, 16.0, 12.5, 15.5, 14.0], [8.0, 15.5, 6.0, 15.5, 8.5, 10.0, 7.5, 16.0, -1.0, 16.0, 10.0, 17.0], [11.5, 13.5, 15.5, 11.5, 19.0, 12.5, 8.5, 12.5, 16.0, -1.0, 12.0, 8.5], [15.5, 15.5, 14.5, 11.0, 14.5, 14.0, 9.0, 15.5, 10.0, 12.0, -1.0, 16.0], [12.0, 14.5, 9.5, 8.5, 9.5, 11.0, 7.0, 14.0, 17.0, 8.5, 16.0, -1.0]]}"
15,113981,1000000,"(0, 1, 2, 3, 4, 5, 8, 13, 11, 7, 14, 6, 12, 9, 10)",145168.5,98.190,"{""n"": 15, ""F"": [0, 1, 2, 3, 4, 7, 12, 13, 8, 14, 6, 10, 9, 11, 5], ""L"": [35, 40, 19, 6, 42, 20, 26, 15, 7, 45, 34, 10, 38, 14, 18], ""C"": [[-1.0, 13.0, 8.0, 10.0, 11.5, 12.5, 18.5, 12.5, 14.0, 14.5, 10.5, 15.5, 11.5, 13.5, 12.5], [13.0, -1.0, 20.0, 5.5, 9.0, 16.0, 8.5, 15.0, 8.5, 8.5, 14.0, 13.0, 16.5, 16.5, 15.0], [8.0, 20.0, -1.0, 11.0, 16.5, 17.0, 12.5, 6.0, 8.5, 14.0, 11.0, 13.0, 11.5, 10.0, 13.0], [10.0, 5.5, 11.0, -1.0, 18.5, 14.0, 13.0, 18.5, 15.0, 11.5, 11.5, 11.0, 7.0, 13.0, 18.0], [11.5, 9.0, 16.5, 18.5, -1.0, 17.0, 11.0, 11.5, 8.0, 11.0, 8.0, 6.5, 11.0, 7.5, 10.5], [12.5, 16.0, 17.0, 14.0, 17.0, -1.0, 13.5, 16.0, 16.0, 16.5, 14.5, 14.5, 16.5, 12.0, 14.0], [18.5, 8.5, 12.5, 13.0, 11.0, 13.5, -1.0, 10.0, 11.5, 9.0, 9.0, 9.5, 13.0, 8.5, 15.5], [12.5, 15.0, 6.0, 18.5, 11.5, 16.0, 10.0, -1.0, 14.5, 11.5, 18.5, 14.0, 12.5, 15.5, 11.5], [14.0, 8.5, 8.5, 15.0, 8.0, 16.0, 11.5, 14.5, -1.0, 17.5, 17.5, 11.0, 15.0, 12.5, 15.0], [14.5, 8.5, 14.0, 11.5, 11.0, 16.5, 9.0, 11.5, 17.5, -1.0, 9.5, 10.5, 14.5, 12.5, 12.0], [10.5, 14.0, 11.0, 11.5, 8.0, 14.5, 9.0, 18.5, 17.5, 9.5, -1.0, 9.5, 16.0, 20.0, 15.0], [15.5, 13.0, 13.0, 11.0, 6.5, 14.5, 9.5, 14.0, 11.0, 10.5, 9.5, -1.0, 12.5, 10.0, 15.0], [11.5, 16.5, 11.5, 7.0, 11.0, 16.5, 13.0, 12.5, 15.0, 14.5, 16.0, 12.5, -1.0, 14.5, 9.0], [13.5, 16.5, 10.0, 13.0, 7.5, 12.0, 8.5, 15.5, 12.5, 12.5, 20.0, 10.0, 14.5, -1.0, 15.0], [12.5, 15.0, 13.0, 18.0, 10.5, 14.0, 15.5, 11.5, 15.0, 12.0, 15.0, 15.0, 9.0, 15.0, -1.0]]}"
